Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Nhà Hàng White Cloud,-1,-1,"299 Âu Cơ, Nhật Tân, Tây Hồ, Hà Nội Việt Nam",-1,-1,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10687968-Reviews-White_Cloud-Hanoi.html
Cowboy Jack's Saloon Long Biên,-1,-1,"Tầng 3 TTTM Aeon Mall Long Biên, Hà Nội 100000 Việt Nam",-1,100.000 ₫ - 1.000.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23306521-Reviews-Cowboy_Jack_s_Saloon_Long_Bien-Hanoi.html
Ku Ơi Quán,-1,-1,"Ngõ 1 Đường Âu Cơ Xóm chùa Kim Liên, Phường Quảng An, Quận Tây Hồ, Hà Nội 10000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/07/07/4f/d5/getlstd-property-photo.jpg,"Cà phê, Đồ ăn nhanh, Kiểu Việt",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d8048567-Reviews-Ku_Oi_Quan-Hanoi.html
Chân Gà Nướng Thịnh Vượng,-1,-1,"5 Lý Văn Phức Cát Linh, Đống Đa, Hà Nội Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1a/cc/79/e5/getlstd-property-photo.jpg,50.000 ₫ - 500.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d20051139-Reviews-Chan_Ga_Nuong_Thinh_Vuong-Hanoi.html
Bánh Mì Ship,-1,-1,"112 Đào Tấn, Ba Đình, Hà Nội 100000 Việt Nam",-1,15.000 ₫ - 42.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d21229889-Reviews-Banh_Mi_Ship-Hanoi.html
Don Chicken Golden Palace,-1,-1,"B1.6, Golden Palace, Mễ Trì, Nam Từ Liêm, Hà Nội 100000 Việt Nam",-1,80.000 ₫ - 360.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17631924-Reviews-Don_Chicken_Golden_Palace-Hanoi.html
The Duckling - Hong Kong Vịt Quay & Lẩu,-1,-1,"Số 80-82, Phố Nguyễn Văn Tuyết Đống Đa Ngõ 298 Tây Sơn Cũ, Hà Nội Việt Nam",-1,Kiểu Trung Quốc,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25245109-Reviews-The_Duckling_Hong_Kong_Vit_Quay_Lau-Hanoi.html
Cheering Beer,-1,-1,"27 Đ. Lê Văn Lương Nhân Chính, Thanh Xuân, Hà Nội 100000 Việt Nam",-1,"Nhà hàng bán bia, Quán rượu, Nhà hàng bia",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d26245146-Reviews-Cheering_Beer-Hanoi.html
Bánh Canh Ghẹ 6,-1,-1,"19 Ngô Tất Tố Near Temple Of Literature, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/15/8a/05/74/grab-noodle-soup.jpg,Bữa trưa,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15054591-Reviews-Banh_Canh_Ghe_6-Hanoi.html
Herbal Pizza Restaurant,-1,-1,"118K1 Phố Giảng Võ Chợ Dừa, Đống Đa, Hà Nội 10000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1c/13/29/f3/getlstd-property-photo.jpg,"Bữa trưa, Bữa tối, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d21311447-Reviews-Herbal_Pizza_Restaurant-Hanoi.html
